creator_email,project_name,tag,start_date,end_date,curr_capacity,goal_capacity,city,state,description
purus.gravida.sagittis@aliquameuaccumsan.co.uk,Human Rights Charity Auction,Seniors,2018-11-23 16:00:00,2018-11-24 11:00:00,0,15,New Haven,CT,
Duis.dignissim@tincidunt.co.uk,Animals Drive,Education,2018-12-09 02:00:00,2018-12-09 13:00:00,0,4,San Diego,CA,
Morbi.sit.amet@viverra.org,Faith-based Drive,Health,2019-09-07 02:00:00,2019-09-07 11:00:00,0,15,Rock Springs,WY,
Nam@eutellus.ca,Homeless Guest Speaker,Faith-based,2020-04-03 22:00:00,2020-04-04 11:00:00,0,13,Lowell,MA,
Integer.id@eratvolutpat.edu,Education Charity,Women,2018-08-21 03:00:00,2018-08-21 06:00:00,0,16,Fairbanks,AK,
ligula.eu@actellus.net,Seniors Charity,Faith-based,2018-05-15 02:00:00,2018-05-15 06:00:00,0,17,Lakewood,CO,
eleifend.egestas@vehiculaet.ca,Hunger Walk,Homeless,2019-02-20 23:00:00,2019-02-21 09:00:00,0,13,West Jordan,UT,
imperdiet@turpisNulla.com,Homeless Walk,Education,2020-02-15 10:00:00,2020-02-15 14:00:00,0,17,Houston,TX,
eu.tellus.Phasellus@diameu.com,Hunger Social Media Fundraising,Human Rights,2018-04-09 20:00:00,2018-04-10 08:00:00,0,9,Warren,MI,
eros@vestibulumnequesed.net,Environment Charity,Human Rights,2019-05-16 20:00:00,2019-05-17 13:00:00,0,5,Columbus,OH,
id@odio.org,Animals Charity Auction,Politics,2018-06-25 14:00:00,2018-06-26 07:00:00,0,18,Aurora,IL,
ut.nisi@quamquis.ca,Health Social Media Fundraising,Human Rights,2018-10-22 18:00:00,2018-10-22 22:00:00,0,22,Lincoln,NE,
penatibus@nequevitae.edu,Arts and Crafts Social Media Fundraising,Health,2019-04-21 03:00:00,2019-04-21 07:00:00,0,7,Little Rock,AR,
ultrices.Vivamus@Duisat.edu,Arts and Crafts Guest Speaker,Disaster Relief,2018-03-05 05:00:00,2018-03-05 17:00:00,0,8,Chandler,AZ,
mi.fringilla@malesuadavel.edu,Human Rights Walk,Faith-based,2019-09-07 15:00:00,2019-09-08 03:00:00,0,16,Newark,DE,
arcu.iaculis.enim@nonummyutmolestie.net,International Charity Auction,Environment,2019-10-27 20:00:00,2019-10-28 10:00:00,0,15,Fayetteville,AR,
id.blandit.at@risusNulla.edu,Animals Guest Speaker,Seniors,2018-06-19 00:00:00,2018-06-19 12:00:00,0,12,Oklahoma City,OK,
in.molestie@blandit.net,Faith-based Social Media Fundraising,Disaster Relief,2019-02-07 22:00:00,2019-02-08 03:00:00,0,5,Philadelphia,PA,
ante@arcuVivamussit.edu,Health Charity Auction,International,2018-11-24 04:00:00,2018-11-25 04:00:00,0,20,Rockville,MD,
a.dui.Cras@enim.edu,Environment Social Media Fundraising,Politics,2019-11-28 21:00:00,2019-11-28 23:00:00,0,8,Naperville,IL,
erat.volutpat.Nulla@Cumsociisnatoque.org,Technology Foundation,Health,2020-01-20 21:00:00,2020-01-21 21:00:00,0,13,South Burlington,VT,
Nullam.ut.nisi@erat.org,Faith-based Guest Speaker,Animals,2018-07-30 17:00:00,2018-07-30 22:00:00,0,19,Milwaukee,WI,
lacus@elit.edu,Hunger Walk,Politics,2018-04-24 13:00:00,2018-04-24 22:00:00,0,11,Louisville,KY,
mattis.semper.dui@Morbiquis.edu,Disaster Relief Charity Auction,Homeless,2019-09-22 23:00:00,2019-09-23 22:00:00,0,23,Pike Creek,DE,
Fusce.aliquam@lectusrutrumurna.net,Disaster Relief Drive,Politics,2019-07-18 10:00:00,2019-07-18 17:00:00,0,16,Glendale,AZ,
luctus.vulputate.nisi@natoque.co.uk,Environment Foundation,Seniors,2018-02-02 03:00:00,2018-02-02 21:00:00,0,19,Lawton,OK,
Donec.fringilla@quis.org,Health Charity Auction,LGBT,2018-04-11 12:00:00,2018-04-11 22:00:00,0,4,Norman,OK,
neque@non.com,Disaster Relief Social Media Fundraising,Youth,2019-08-03 22:00:00,2019-08-04 01:00:00,0,17,Shreveport,LA,
tortor.Integer@ligulatortor.ca,Arts and Crafts Guest Speaker,Disaster Relief,2018-03-10 17:00:00,2018-03-11 16:00:00,0,11,Denver,CO,
sit.amet.consectetuer@vel.org,Animals Guest Speaker,Arts and Crafts,2020-02-23 00:00:00,2020-02-23 01:00:00,0,21,Newark,DE,
nunc@Phasellus.co.uk,Politics Charity Auction,Hunger,2019-12-25 01:00:00,2019-12-25 18:00:00,0,11,Aurora,IL,
nibh.Donec@Loremipsumdolor.org,Arts and Crafts Guest Speaker,Women,2018-07-05 10:00:00,2018-07-06 08:00:00,0,24,Allentown,PA,
Nam@Nullafacilisis.org,Hunger Drive,Sports,2018-07-04 06:00:00,2018-07-04 10:00:00,0,17,Gillette,WY,
Suspendisse.sed@elementumsem.edu,Youth Drive,Education,2018-11-21 23:00:00,2018-11-22 15:00:00,0,21,Savannah,GA,
penatibus.et@nasceturridiculusmus.org,Youth Drive,Environment,2018-11-29 01:00:00,2018-11-29 16:00:00,0,20,Juneau,AK,
sapien.imperdiet@Quisqueornaretortor.net,Human Rights Foundation,International,2020-04-05 04:00:00,2020-04-05 16:00:00,0,25,Pocatello,ID,
risus.a.ultricies@interdum.org,Hunger Charity Auction,Hunger,2018-02-07 19:00:00,2018-02-08 16:00:00,0,18,Carson City,NV,
eu@nisinibh.net,Homeless Guest Speaker,Animals,2019-11-30 23:00:00,2019-12-01 21:00:00,0,17,Provo,UT,
Mauris.vestibulum.neque@loremvitaeodio.org,Human Rights Walk,Homeless,2018-07-17 02:00:00,2018-07-17 20:00:00,0,18,Springfield,MO,
amet@pedePraesent.com,Politics Walk,Arts and Crafts,2019-07-22 14:00:00,2019-07-23 13:00:00,0,15,Overland Park,KS,
diam.Proin.dolor@sed.ca,Homeless Guest Speaker,Environment,2018-02-15 19:00:00,2018-02-15 21:00:00,0,15,Orlando,FL,
dolor.sit@nislNulla.edu,Seniors Social Media Fundraising,Youth,2020-02-02 15:00:00,2020-02-02 20:00:00,0,16,Fort Wayne,IN,
sagittis.Nullam@Utsemper.org,Seniors Walk,Faith-based,2018-08-26 02:00:00,2018-08-26 22:00:00,0,17,Kearney,NE,
orci@eutellus.co.uk,Health Drive,Seniors,2020-01-22 02:00:00,2020-01-22 11:00:00,0,3,Miami,FL,
non@vitaeodio.co.uk,Environment Charity Auction,Disaster Relief,2019-05-20 02:00:00,2019-05-20 06:00:00,0,23,Stamford,CT,
nisi.dictum@sit.edu,Education Walk,LGBT,2018-01-25 01:00:00,2018-01-25 18:00:00,0,16,Allentown,PA,
nibh.dolor.nonummy@euismodenimEtiam.co.uk,Arts and Crafts Social Media Fundraising,Seniors,2018-11-03 11:00:00,2018-11-04 03:00:00,0,5,College,AK,
viverra.Maecenas.iaculis@odio.org,Arts and Crafts Foundation,Politics,2018-01-22 20:00:00,2018-01-23 19:00:00,0,7,Olympia,WA,
dis.parturient@urnanec.org,Arts and Crafts Drive,Faith-based,2020-02-08 09:00:00,2020-02-08 14:00:00,0,17,Chesapeake,VA,
libero@hendrerit.org,Health Social Media Fundraising,Politics,2019-06-09 03:00:00,2019-06-09 08:00:00,0,25,Indianapolis,IN,
lorem.eu@massaVestibulum.co.uk,Politics Charity,Women,2018-10-18 08:00:00,2018-10-18 11:00:00,0,23,Toledo,OH,
cubilia.Curae.Donec@ipsumdolor.edu,Homeless Social Media Fundraising,International,2018-12-24 13:00:00,2018-12-24 21:00:00,0,23,Savannah,GA,
Suspendisse.aliquet@ipsumPhasellusvitae.net,Health Walk,Seniors,2019-11-17 12:00:00,2019-11-17 17:00:00,0,15,Flint,MI,
dui@Sedeget.edu,Hunger Social Media Fundraising,Animals,2018-03-05 01:00:00,2018-03-05 13:00:00,0,18,Lansing,MI,
arcu.vel.quam@lacusQuisque.com,LGBT Walk,Human Rights,2018-10-15 01:00:00,2018-10-15 23:00:00,0,21,West Jordan,UT,
sit@semperetlacinia.co.uk,Seniors Charity,International,2018-05-19 20:00:00,2018-05-20 06:00:00,0,9,Orlando,FL,
Vivamus@imperdiet.net,Sports Social Media Fundraising,International,2018-09-25 05:00:00,2018-09-26 01:00:00,0,17,Spokane,WA,
arcu@cursusa.edu,Animals Charity,Hunger,2018-08-06 19:00:00,2018-08-07 03:00:00,0,9,Boston,MA,
Curabitur.ut@cursusnon.net,Animals Foundation,Women,2018-02-11 06:00:00,2018-02-11 12:00:00,0,19,Baton Rouge,LA,
rutrum@cursusaenim.edu,Human Rights Foundation,Education,2019-11-01 06:00:00,2019-11-02 05:00:00,0,10,Burlington,VT,
et.libero@semsemper.com,Animals Social Media Fundraising,Faith-based,2019-05-12 09:00:00,2019-05-12 14:00:00,0,13,Frederick,MD,
non@utpellentesque.com,Disaster Relief Foundation,Education,2018-07-07 03:00:00,2018-07-07 04:00:00,0,12,Clarksville,TN,
ipsum.nunc@sedlibero.net,Seniors Charity,Animals,2019-10-11 04:00:00,2019-10-12 04:00:00,0,17,Montpelier,VT,
pharetra.nibh@Proinvelnisl.com,Hunger Charity Auction,Faith-based,2019-09-25 21:00:00,2019-09-25 22:00:00,0,23,Salem,OR,
eget.magna@ac.co.uk,Faith-based Social Media Fundraising,Human Rights,2019-03-07 21:00:00,2019-03-08 06:00:00,0,3,Bellevue,NE,
hymenaeos@maurisMorbinon.edu,Disaster Relief Drive,International,2019-12-13 14:00:00,2019-12-14 07:00:00,0,12,Owensboro,KY,
ante@Etiamgravidamolestie.ca,Faith-based Guest Speaker,Politics,2019-12-17 08:00:00,2019-12-17 09:00:00,0,22,Gresham,OR,
Suspendisse@pellentesqueSeddictum.net,Sports Walk,Arts and Crafts,2019-10-30 09:00:00,2019-10-31 05:00:00,0,23,Fort Worth,TX,
Nunc.sollicitudin@nonenimcommodo.net,Seniors Walk,Faith-based,2019-02-17 07:00:00,2019-02-17 15:00:00,0,20,Kapolei,HI,
aliquet@enim.co.uk,Youth Charity,Arts and Crafts,2020-03-29 14:00:00,2020-03-30 00:00:00,0,21,Racine,WI,
pharetra@nisinibh.org,Human Rights Drive,Youth,2018-03-28 05:00:00,2018-03-29 04:00:00,0,22,New Orleans,LA,
orci.luctus@montesnascetur.ca,Education Guest Speaker,Sports,2019-04-25 04:00:00,2019-04-25 18:00:00,0,15,Fort Smith,AR,
sem.elit.pharetra@id.co.uk,Homeless Foundation,Animals,2019-09-21 20:00:00,2019-09-22 16:00:00,0,6,Rockville,MD,
feugiat.tellus.lorem@ornaresagittisfelis.ca,Politics Social Media Fundraising,Politics,2020-03-26 15:00:00,2020-03-27 01:00:00,0,12,Overland Park,KS,
nunc@Crasinterdum.co.uk,International Drive,Homeless,2019-02-25 01:00:00,2019-02-25 19:00:00,0,6,Ketchikan,AK,
amet.faucibus.ut@orciUt.co.uk,Seniors Charity Auction,Seniors,2018-11-08 00:00:00,2018-11-08 13:00:00,0,25,Toledo,OH,
neque@acorciUt.edu,Youth Walk,Environment,2019-06-07 03:00:00,2019-06-07 10:00:00,0,24,Gillette,WY,
Aenean.eget@tristiquepellentesque.co.uk,Technology Drive,Arts and Crafts,2018-04-10 03:00:00,2018-04-11 02:00:00,0,23,Lawton,OK,
vel@aliquetmolestietellus.com,Homeless Walk,Sports,2018-01-06 01:00:00,2018-01-06 10:00:00,0,15,Mesa,AZ,
facilisis.magna.tellus@acnullaIn.co.uk,Health Social Media Fundraising,Human Rights,2019-09-10 19:00:00,2019-09-11 14:00:00,0,23,Tacoma,WA,
sem.vitae.aliquam@eu.com,Education Charity,Faith-based,2019-09-16 14:00:00,2019-09-17 11:00:00,0,10,Lafayette,LA,
elit.a.feugiat@Donecvitae.ca,Environment Guest Speaker,International,2019-07-10 13:00:00,2019-07-11 08:00:00,0,4,Green Bay,WI,
nisi@euerat.net,Homeless Drive,Politics,2018-08-22 19:00:00,2018-08-23 19:00:00,0,23,Mesa,AZ,
sem.ut@penatibus.ca,Technology Drive,Homeless,2020-02-08 17:00:00,2020-02-09 13:00:00,0,7,Honolulu,HI,
Praesent.eu.nulla@semperauctor.org,Health Walk,Seniors,2018-04-15 08:00:00,2018-04-16 01:00:00,0,24,Rockford,IL,
Quisque@etipsum.ca,Disaster Relief Drive,International,2019-11-03 02:00:00,2019-11-03 12:00:00,0,12,Hilo,HI,
non@lorem.ca,Faith-based Charity,Disaster Relief,2020-02-15 06:00:00,2020-02-15 13:00:00,0,12,Hillsboro,OR,
Integer.mollis.Integer@InfaucibusMorbi.edu,Seniors Walk,Politics,2019-01-25 11:00:00,2019-01-26 02:00:00,0,21,Fayetteville,AR,
viverra@Integer.org,Disaster Relief Charity,Sports,2019-02-10 13:00:00,2019-02-10 17:00:00,0,10,Sandy,UT,
bibendum.sed.est@magnisdis.org,Hunger Drive,Sports,2020-01-07 16:00:00,2020-01-08 02:00:00,0,16,Flint,MI,
Maecenas.malesuada.fringilla@mattisvelit.edu,Human Rights Charity Auction,LGBT,2018-02-01 06:00:00,2018-02-01 23:00:00,0,8,San Jose,CA,
mauris.sit.amet@nec.ca,Environment Charity Auction,Disaster Relief,2019-07-15 08:00:00,2019-07-15 22:00:00,0,13,South Bend,IN,
nisl.elementum@ante.com,Health Guest Speaker,Women,2020-02-07 11:00:00,2020-02-08 08:00:00,0,13,Madison,WI,
convallis.convallis.dolor@Quisquepurus.net,Politics Charity,Faith-based,2019-07-12 17:00:00,2019-07-12 19:00:00,0,20,Hartford,CT,
iaculis.lacus.pede@mauris.org,Politics Charity Auction,Homeless,2019-01-18 00:00:00,2019-01-19 00:00:00,0,22,Nashville,TN,
id.nunc@utpharetra.edu,Homeless Social Media Fundraising,Faith-based,2019-07-08 06:00:00,2019-07-08 19:00:00,0,4,Columbus,GA,
eget@luctusfelispurus.co.uk,Women Charity,Homeless,2020-03-13 14:00:00,2020-03-14 02:00:00,0,8,Tulsa,OK,
pharetra@Cras.co.uk,Arts and Crafts Drive,Health,2019-01-24 22:00:00,2019-01-25 08:00:00,0,19,West Valley City,UT,
tempor.erat@dictum.com,Education Drive,Health,2019-12-25 02:00:00,2019-12-25 12:00:00,0,11,Des Moines,IA,
sed.turpis.nec@Duis.ca,Seniors Foundation,Seniors,2018-10-11 12:00:00,2018-10-11 18:00:00,0,24,Spokane,WA,
Aliquam@enim.co.uk,Disaster Relief Drive,Youth,2018-07-25 18:00:00,2018-07-26 16:00:00,0,8,Philadelphia,PA,
nibh.Phasellus.nulla@lobortis.co.uk,Sports Walk,Education,2018-03-29 00:00:00,2018-03-29 04:00:00,0,23,Georgia,GA,
vulputate.velit.eu@justo.co.uk,Hunger Charity,International,2019-05-06 19:00:00,2019-05-06 21:00:00,0,15,Portland,OR,
non@eunullaat.edu,Human Rights Social Media Fundraising,Seniors,2018-05-17 10:00:00,2018-05-18 10:00:00,0,21,Bear,DE,
id@sempertellusid.ca,Arts and Crafts Charity Auction,Environment,2019-09-08 02:00:00,2019-09-09 02:00:00,0,6,Dallas,TX,
scelerisque.neque@risusNuncac.co.uk,Faith-based Social Media Fundraising,Seniors,2019-02-02 12:00:00,2019-02-03 04:00:00,0,16,Tacoma,WA,
Pellentesque.habitant.morbi@egestas.edu,International Drive,Seniors,2019-02-18 07:00:00,2019-02-18 11:00:00,0,12,Flint,MI,
Praesent@pedeblandit.co.uk,Sports Guest Speaker,Animals,2018-12-21 04:00:00,2018-12-21 16:00:00,0,13,Rockford,IL,
mus.Donec.dignissim@ametconsectetuer.edu,Women Social Media Fundraising,Technology,2018-04-13 16:00:00,2018-04-13 17:00:00,0,11,Richmond,VA,
euismod.in.dolor@urnaconvallis.org,Environment Charity Auction,Politics,2018-02-11 18:00:00,2018-02-12 03:00:00,0,21,Minneapolis,MN,
Aliquam@malesuada.com,Seniors Foundation,Seniors,2018-04-16 00:00:00,2018-04-16 20:00:00,0,21,Georgia,GA,
a.aliquet@fermentumrisusat.co.uk,Homeless Drive,Health,2019-02-18 17:00:00,2019-02-19 01:00:00,0,8,Idaho Falls,ID,
augue.porttitor@enim.ca,Homeless Charity,Arts and Crafts,2018-12-10 09:00:00,2018-12-11 07:00:00,0,18,Baltimore,MD,
gravida@Quisque.net,Education Social Media Fundraising,Politics,2020-01-23 22:00:00,2020-01-24 19:00:00,0,6,Madison,WI,
nunc@eget.org,Animals Drive,Education,2019-03-24 14:00:00,2019-03-24 23:00:00,0,5,Rockville,MD,
dictum@cursus.com,Animals Charity,Women,2018-11-27 15:00:00,2018-11-28 09:00:00,0,14,Savannah,GA,
ut.molestie.in@Donecest.org,Hunger Drive,Technology,2020-03-29 11:00:00,2020-03-29 17:00:00,0,23,Tulsa,OK,
commodo@ornarelectus.com,Sports Walk,Homeless,2020-01-27 04:00:00,2020-01-27 08:00:00,0,14,Lowell,MA,
eu.tellus@vulputatemauris.co.uk,Seniors Foundation,Faith-based,2018-05-21 00:00:00,2018-05-21 16:00:00,0,12,Bear,DE,
Fusce@Mauris.net,Animals Drive,Sports,2020-04-08 16:00:00,2020-04-09 08:00:00,0,14,Milwaukee,WI,
velit.dui.semper@rutrum.net,Sports Social Media Fundraising,Environment,2018-08-30 12:00:00,2018-08-30 21:00:00,0,13,Chesapeake,VA,
feugiat@Quisque.net,Disaster Relief Charity Auction,Technology,2018-09-15 07:00:00,2018-09-16 04:00:00,0,17,Kaneohe,HI,
dis.parturient.montes@dolortempus.ca,Arts and Crafts Guest Speaker,Arts and Crafts,2019-09-20 19:00:00,2019-09-21 14:00:00,0,16,Clarksville,TN,
enim.condimentum.eget@dictumeleifendnunc.ca,Animals Charity,Education,2018-06-05 00:00:00,2018-06-05 03:00:00,0,6,Warren,MI,
Integer@lobortisClassaptent.com,Animals Social Media Fundraising,Education,2019-05-05 18:00:00,2019-05-06 11:00:00,0,18,Newark,DE,
magnis@pellentesque.co.uk,Homeless Walk,Politics,2018-05-26 15:00:00,2018-05-27 15:00:00,0,2,Bellevue,NE,
dictum.augue@malesuadaiderat.com,Environment Charity,Animals,2018-04-07 12:00:00,2018-04-07 18:00:00,0,5,Georgia,GA,
facilisis.vitae@ultriciesadipiscingenim.ca,Youth Drive,Technology,2018-07-15 02:00:00,2018-07-15 15:00:00,0,15,Topeka,KS,
et@dolor.com,Seniors Walk,Education,2019-01-29 08:00:00,2019-01-29 19:00:00,0,4,Jacksonville,FL,
Nulla.aliquet@facilisisegetipsum.ca,Women Social Media Fundraising,Sports,2019-05-09 20:00:00,2019-05-09 21:00:00,0,10,Gary,IN,
rhoncus.Donec@quisarcuvel.edu,Faith-based Charity Auction,Education,2019-05-12 21:00:00,2019-05-13 20:00:00,0,23,Saint Paul,MN,
enim.mi.tempor@ornareFuscemollis.edu,Education Guest Speaker,Faith-based,2018-03-22 06:00:00,2018-03-22 16:00:00,0,18,Saint Louis,MO,
Nulla.tincidunt@purusaccumsaninterdum.net,Disaster Relief Charity Auction,Technology,2019-04-30 11:00:00,2019-04-30 15:00:00,0,19,Miami,FL,
vitae.risus.Duis@blanditcongue.com,Hunger Charity,Health,2018-03-08 00:00:00,2018-03-09 00:00:00,0,16,Tucson,AZ,
ullamcorper.eu.euismod@duisemperet.co.uk,Disaster Relief Walk,Human Rights,2018-05-28 10:00:00,2018-05-28 13:00:00,0,25,Salt Lake City,UT,
lorem.eu@egetipsumDonec.ca,Arts and Crafts Guest Speaker,Politics,2018-01-07 23:00:00,2018-01-08 11:00:00,0,23,Laramie,WY,
neque@disparturientmontes.ca,Women Foundation,Women,2019-01-04 09:00:00,2019-01-04 12:00:00,0,25,Fairbanks,AK,
sed.sem@risusQuisquelibero.co.uk,Environment Charity,Health,2020-01-01 18:00:00,2020-01-02 01:00:00,0,21,Fort Collins,CO,
purus.in.molestie@porttitorinterdum.net,Disaster Relief Walk,Seniors,2020-01-07 02:00:00,2020-01-08 01:00:00,0,11,Tampa,FL,
nec.tempus@miDuisrisus.co.uk,Hunger Social Media Fundraising,Technology,2018-09-13 10:00:00,2018-09-14 07:00:00,0,8,Idaho Falls,ID,
ridiculus@luctuset.org,Faith-based Guest Speaker,Politics,2018-07-14 19:00:00,2018-07-15 18:00:00,0,11,Gary,IN,
senectus.et@accumsanlaoreetipsum.com,International Social Media Fundraising,Technology,2018-02-12 21:00:00,2018-02-13 03:00:00,0,7,Flint,MI,
mauris.sit@egestasSed.edu,Animals Foundation,Technology,2019-12-04 18:00:00,2019-12-05 11:00:00,0,5,Minneapolis,MN,
a.purus.Duis@Inornaresagittis.edu,Sports Foundation,Education,2018-02-14 06:00:00,2018-02-15 03:00:00,0,25,Richmond,VA,
Etiam.laoreet.libero@Aliquamnecenim.edu,Environment Social Media Fundraising,International,2019-04-23 04:00:00,2019-04-23 05:00:00,0,12,Colchester,VT,
quam.vel@ultrices.co.uk,Faith-based Drive,Human Rights,2019-08-09 01:00:00,2019-08-09 10:00:00,0,17,Fort Smith,AR,
nec.urna@ligulaAeneaneuismod.net,Disaster Relief Social Media Fundraising,International,2018-07-27 12:00:00,2018-07-27 16:00:00,0,15,Missoula,MT,
Maecenas.libero@consequatenim.net,Technology Foundation,Youth,2019-06-30 09:00:00,2019-07-01 08:00:00,0,23,Butte,MT,
Mauris.vestibulum@enim.co.uk,Technology Charity,Human Rights,2019-01-14 00:00:00,2019-01-14 07:00:00,0,8,Bowling Green,KY,
orci@Donecatarcu.net,Youth Walk,Animals,2019-07-31 06:00:00,2019-08-01 02:00:00,0,9,Paradise,NV,
nulla.ante@eu.edu,Seniors Charity Auction,Seniors,2019-11-09 23:00:00,2019-11-10 11:00:00,0,10,Fresno,CA,
eu.odio.tristique@luctusaliquet.com,Seniors Guest Speaker,Health,2018-03-02 14:00:00,2018-03-03 05:00:00,0,23,Madison,WI,
risus.a.ultricies@utlacus.net,Disaster Relief Charity Auction,Health,2019-07-13 09:00:00,2019-07-14 07:00:00,0,9,New Orleans,LA,
mauris.elit@doloregestas.net,LGBT Drive,Arts and Crafts,2018-10-21 02:00:00,2018-10-21 22:00:00,0,25,Lincoln,NE,
lorem.ut@nonvestibulum.net,Women Charity Auction,Disaster Relief,2019-06-10 08:00:00,2019-06-10 15:00:00,0,4,Naperville,IL,
eu.neque@nulla.com,Environment Foundation,Human Rights,2018-09-24 19:00:00,2018-09-25 00:00:00,0,12,Wilmington,DE,
metus.eu.erat@metus.ca,Education Guest Speaker,Education,2019-07-26 15:00:00,2019-07-26 20:00:00,0,12,Saint Louis,MO,
eu@nequeInornare.com,Homeless Charity,Technology,2018-11-09 13:00:00,2018-11-09 21:00:00,0,15,Grand Island,NE,
ac@pharetraNamac.ca,Animals Drive,International,2019-01-22 23:00:00,2019-01-23 10:00:00,0,2,Independence,MO,
mauris@atvelitPellentesque.co.uk,Women Charity Auction,Sports,2019-08-22 11:00:00,2019-08-22 19:00:00,0,19,Pike Creek,DE,
Integer.urna.Vivamus@leo.edu,Politics Charity Auction,Disaster Relief,2019-11-29 22:00:00,2019-11-30 08:00:00,0,17,Fayetteville,AR,
Aenean@quamPellentesque.org,International Walk,Technology,2018-10-06 21:00:00,2018-10-07 14:00:00,0,16,Grand Island,NE,
nec@fermentum.org,Disaster Relief Social Media Fundraising,Hunger,2018-10-20 10:00:00,2018-10-20 11:00:00,0,21,Gillette,WY,
Pellentesque.habitant.morbi@lectuspedeet.net,Homeless Charity Auction,International,2019-08-17 18:00:00,2019-08-18 13:00:00,0,15,Harrisburg,PA,
suscipit@diam.co.uk,Hunger Drive,Homeless,2018-04-14 01:00:00,2018-04-14 13:00:00,0,6,Fort Worth,TX,
convallis@consectetuermaurisid.ca,Politics Social Media Fundraising,LGBT,2019-11-04 21:00:00,2019-11-05 04:00:00,0,23,Columbus,OH,
sed.tortor@anteipsumprimis.edu,Animals Guest Speaker,Seniors,2019-05-13 05:00:00,2019-05-13 10:00:00,0,5,Ketchikan,AK,
ipsum.dolor.sit@adipiscing.org,Youth Charity Auction,Hunger,2018-11-27 22:00:00,2018-11-28 21:00:00,0,7,Columbia,MD,
pede.Nunc.sed@doloregestas.edu,Technology Charity,Human Rights,2019-03-27 17:00:00,2019-03-28 10:00:00,0,7,Harrisburg,PA,
tristique@gravidanon.org,Sports Charity,International,2020-02-27 14:00:00,2020-02-28 08:00:00,0,17,Sacramento,CA,
eu.arcu@blanditenim.edu,Youth Drive,Homeless,2019-11-20 10:00:00,2019-11-20 17:00:00,0,2,Wilmington,DE,
ac.tellus@acmetus.org,Disaster Relief Social Media Fundraising,Faith-based,2018-04-22 20:00:00,2018-04-23 03:00:00,0,25,Hattiesburg,MS,
habitant.morbi.tristique@arcu.edu,LGBT Social Media Fundraising,Animals,2019-07-05 21:00:00,2019-07-06 19:00:00,0,22,Gary,IN,
non.lorem.vitae@Proin.org,Health Drive,Women,2019-10-21 17:00:00,2019-10-21 23:00:00,0,6,South Portland,ME,
sed.libero@commodo.ca,Hunger Guest Speaker,Education,2018-10-22 01:00:00,2018-10-22 08:00:00,0,11,Portland,OR,
Nam.ac@seddolorFusce.ca,Women Foundation,Health,2019-12-24 08:00:00,2019-12-25 01:00:00,0,11,Gresham,OR,
Nullam.ut@ornare.org,Environment Guest Speaker,Disaster Relief,2019-07-05 02:00:00,2019-07-05 03:00:00,0,25,Shreveport,LA,
malesuada@faucibus.edu,Women Foundation,Health,2019-04-20 17:00:00,2019-04-21 10:00:00,0,16,Kapolei,HI,
mus.Donec.dignissim@auctorquistristique.org,Human Rights Charity,Technology,2018-02-22 06:00:00,2018-02-23 05:00:00,0,21,Frankfort,KY,
Vivamus@eratneque.com,Arts and Crafts Guest Speaker,International,2018-02-02 20:00:00,2018-02-03 18:00:00,0,22,Wilmington,DE,
viverra@Integer.org,Arts and Crafts Charity Auction,Hunger,2020-02-13 20:00:00,2020-02-14 01:00:00,0,12,Jackson,MS,
eu.arcu@blanditenim.edu,Arts and Crafts Walk,Youth,2019-01-14 08:00:00,2019-01-15 03:00:00,0,25,Casper,WY,
vel.est@euismodmauriseu.co.uk,Homeless Walk,Animals,2018-05-04 10:00:00,2018-05-04 16:00:00,0,25,Honolulu,HI,
ornare.egestas.ligula@a.co.uk,Women Charity Auction,Hunger,2019-07-08 04:00:00,2019-07-08 10:00:00,0,16,Iowa City,IA,
Curae.Phasellus.ornare@Suspendissesed.com,Arts and Crafts Walk,Education,2018-01-31 16:00:00,2018-01-31 23:00:00,0,4,Springdale,AR,
adipiscing@Proinvelit.org,LGBT Walk,Human Rights,2019-07-29 06:00:00,2019-07-29 10:00:00,0,4,Lowell,MA,
mi.eleifend@cursusNunc.com,Health Charity Auction,Environment,2018-05-19 00:00:00,2018-05-19 10:00:00,0,4,Chesapeake,VA,
ipsum.ac.mi@augue.edu,Environment Guest Speaker,Sports,2018-01-02 06:00:00,2018-01-02 14:00:00,0,7,Frankfort,KY,
Duis.cursus.diam@rhoncus.org,Arts and Crafts Charity Auction,Animals,2020-03-05 16:00:00,2020-03-06 16:00:00,0,15,Great Falls,MT,
justo@loremsitamet.co.uk,Health Walk,Faith-based,2018-11-05 04:00:00,2018-11-05 09:00:00,0,15,Worcester,MA,
Nunc.sed@laoreetlectus.net,Environment Guest Speaker,Arts and Crafts,2019-10-01 15:00:00,2019-10-02 04:00:00,0,3,Idaho Falls,ID,
et.libero.Proin@eu.ca,LGBT Foundation,Hunger,2019-09-17 19:00:00,2019-09-17 20:00:00,0,8,Sacramento,CA,
scelerisque.neque@natoquepenatibuset.org,Environment Foundation,Education,2018-02-22 20:00:00,2018-02-23 20:00:00,0,4,Biloxi,MS,
aliquet.sem.ut@facilisiSedneque.edu,Education Drive,Youth,2019-04-11 09:00:00,2019-04-12 03:00:00,0,24,Naperville,IL,
erat@ipsum.org,Environment Social Media Fundraising,International,2018-09-12 02:00:00,2018-09-12 15:00:00,0,18,Lexington,KY,
