pid,creator_email,project_name,tag,project_date,day_of_week,start_time,end_time,curr_capacity,goal_capacity,city,state,description
1272,eu.tellus@vulputatemauris.co.uk,Seniors Foundation,Faith-based,5/20/2017,tuesday,15,18,0,12,Fort Worth,AK,
1273,Fusce@Mauris.net,Animals Drive,Sports,4/9/2019,friday,15,16,0,14,Lawton,NV,
1274,velit.dui.semper@rutrum.net,Sports Social Media Fundraising,Environment,8/30/2017,friday,16,17,0,13,Mesa,VA,
1275,feugiat@Quisque.net,Disaster Relief Charity Auction,Technology,9/15/2017,saturday,10,11,0,17,Los Angeles,OR,
1276,dis.parturient.montes@dolortempus.ca,Arts and Crafts Guest Speaker,Arts and Crafts,9/20/2018,thursday,10,11,0,16,Waterbury,LA,
1277,enim.condimentum.eget@dictumeleifendnunc.ca,Animals Charity,Education,6/4/2017,wednesday,8,9,0,6,San Antonio,AK,
1278,Integer@lobortisClassaptent.com,Animals Social Media Fundraising,Education,5/5/2018,tuesday,16,17,0,18,Gary,MO,
1279,magnis@pellentesque.co.uk,Homeless Walk,Politics,5/26/2017,saturday,9,11,0,2,Dallas,MA,
1280,dictum.augue@malesuadaiderat.com,Environment Charity,Animals,4/7/2017,wednesday,12,13,0,5,Honolulu,VT,
1281,facilisis.vitae@ultriciesadipiscingenim.ca,Youth Drive,Technology,7/15/2017,tuesday,12,14,0,15,West Jordan,AR,
1282,et@dolor.com,Seniors Walk,Education,1/29/2018,wednesday,14,15,0,4,Memphis,WA,
1283,Nulla.aliquet@facilisisegetipsum.ca,Women Social Media Fundraising,Sports,5/9/2018,tuesday,9,11,0,10,Sandy,FL,
1284,rhoncus.Donec@quisarcuvel.edu,Faith-based Charity Auction,Education,5/12/2018,friday,14,17,0,23,Lowell,TN,
1285,enim.mi.tempor@ornareFuscemollis.edu,Education Guest Speaker,Faith-based,3/22/2017,friday,15,17,0,18,Toledo,ID,
1286,Nulla.tincidunt@purusaccumsaninterdum.net,Disaster Relief Charity Auction,Technology,4/30/2018,thursday,8,11,0,19,Bellevue,VA,
1287,vitae.risus.Duis@blanditcongue.com,Hunger Charity,Health,3/8/2017,saturday,17,19,0,16,Fort Collins,IL,
1288,ullamcorper.eu.euismod@duisemperet.co.uk,Disaster Relief Walk,Human Rights,5/28/2017,wednesday,13,14,0,25,Bear,IA,
1289,lorem.eu@egetipsumDonec.ca,Arts and Crafts Guest Speaker,Politics,1/7/2017,saturday,17,18,0,23,Bellevue,OK,
1290,neque@disparturientmontes.ca,Women Foundation,Women,1/4/2018,wednesday,17,19,0,25,Pocatello,MD,
1291,sed.sem@risusQuisquelibero.co.uk,Environment Charity,Health,1/1/2019,tuesday,14,15,0,21,Springfield,NV,
1292,purus.in.molestie@porttitorinterdum.net,Disaster Relief Walk,Seniors,1/7/2019,sunday,11,13,0,11,Chandler,TX,
1293,nec.tempus@miDuisrisus.co.uk,Hunger Social Media Fundraising,Technology,9/13/2017,thursday,16,18,0,8,Fort Smith,ME,
1294,ridiculus@luctuset.org,Faith-based Guest Speaker,Politics,7/14/2017,sunday,12,15,0,11,Savannah,HI,
1295,senectus.et@accumsanlaoreetipsum.com,International Social Media Fundraising,Technology,2/12/2017,monday,13,16,0,7,West Jordan,WY,
1296,mauris.sit@egestasSed.edu,Animals Foundation,Technology,12/4/2018,saturday,15,17,0,5,Rock Springs,WI,
1297,a.purus.Duis@Inornaresagittis.edu,Sports Foundation,Education,2/14/2017,saturday,11,14,0,25,Kapolei,DE,
1298,Etiam.laoreet.libero@Aliquamnecenim.edu,Environment Social Media Fundraising,International,4/23/2018,sunday,12,15,0,12,Bozeman,GA,
1299,quam.vel@ultrices.co.uk,Faith-based Drive,Human Rights,8/9/2018,sunday,13,16,0,17,Anchorage,OH,
1300,nec.urna@ligulaAeneaneuismod.net,Disaster Relief Social Media Fundraising,International,7/27/2017,wednesday,16,18,0,15,Springfield,WA,
1301,Maecenas.libero@consequatenim.net,Technology Foundation,Youth,6/30/2018,wednesday,14,17,0,23,Kapolei,WY,
1302,Mauris.vestibulum@enim.co.uk,Technology Charity,Human Rights,1/13/2018,monday,13,14,0,8,Saint Paul,CA,
1303,orci@Donecatarcu.net,Youth Walk,Animals,7/31/2018,tuesday,10,13,0,9,South Bend,PA,
1304,nulla.ante@eu.edu,Seniors Charity Auction,Seniors,11/9/2018,wednesday,12,15,0,10,Jonesboro,VA,
1305,eu.odio.tristique@luctusaliquet.com,Seniors Guest Speaker,Health,3/2/2017,monday,8,9,0,23,Springfield,ME,
1306,risus.a.ultricies@utlacus.net,Disaster Relief Charity Auction,Health,7/13/2018,sunday,8,11,0,9,Virginia Beach,AZ,
1307,mauris.elit@doloregestas.net,LGBT Drive,Arts and Crafts,10/21/2017,monday,7,10,0,25,Austin,WY,
1308,lorem.ut@nonvestibulum.net,Women Charity Auction,Disaster Relief,6/10/2018,wednesday,7,10,0,4,Madison,KS,
1309,eu.neque@nulla.com,Environment Foundation,Human Rights,9/24/2017,monday,7,8,0,12,Burlington,WY,
1310,metus.eu.erat@metus.ca,Education Guest Speaker,Education,7/26/2018,thursday,15,16,0,12,Gulfport,ME,
1311,eu@nequeInornare.com,Homeless Charity,Technology,11/9/2017,wednesday,17,19,0,15,Portland,TX,
1312,ac@pharetraNamac.ca,Animals Drive,International,1/22/2018,monday,10,12,0,2,Gary,NE,
1313,mauris@atvelitPellentesque.co.uk,Women Charity Auction,Sports,8/22/2018,sunday,10,13,0,19,Waterbury,HI,
1314,Integer.urna.Vivamus@leo.edu,Politics Charity Auction,Disaster Relief,11/29/2018,sunday,12,14,0,17,Miami,IA,
1315,Aenean@quamPellentesque.org,International Walk,Technology,10/6/2017,saturday,17,19,0,16,Fayetteville,MD,
1316,nec@fermentum.org,Disaster Relief Social Media Fundraising,Hunger,10/20/2017,thursday,14,16,0,21,Vancouver,MT,
1317,Pellentesque.habitant.morbi@lectuspedeet.net,Homeless Charity Auction,International,8/17/2018,wednesday,13,16,0,15,Annapolis,WY,
1318,suscipit@diam.co.uk,Hunger Drive,Homeless,4/14/2017,sunday,11,14,0,6,Kailua,HI,
1319,convallis@consectetuermaurisid.ca,Politics Social Media Fundraising,LGBT,11/4/2018,wednesday,14,15,0,23,Memphis,MS,
1320,sed.tortor@anteipsumprimis.edu,Animals Guest Speaker,Seniors,5/13/2018,tuesday,12,14,0,5,Akron,MT,
1321,ipsum.dolor.sit@adipiscing.org,Youth Charity Auction,Hunger,11/27/2017,saturday,11,12,0,7,Colorado Springs,CT,
1322,pede.Nunc.sed@doloregestas.edu,Technology Charity,Human Rights,3/27/2018,monday,13,16,0,7,San Francisco,AK,
1323,tristique@gravidanon.org,Sports Charity,International,2/27/2019,thursday,8,9,0,17,South Bend,NE,
1324,eu.arcu@blanditenim.edu,Youth Drive,Homeless,11/20/2018,wednesday,14,17,0,2,Colchester,HI,
1325,ac.tellus@acmetus.org,Disaster Relief Social Media Fundraising,Faith-based,4/22/2017,saturday,7,9,0,25,Vancouver,WY,
1326,habitant.morbi.tristique@arcu.edu,LGBT Social Media Fundraising,Animals,7/5/2018,wednesday,7,9,0,22,Flint,CO,
1327,non.lorem.vitae@Proin.org,Health Drive,Women,10/21/2018,wednesday,12,14,0,6,Great Falls,DE,
1328,sed.libero@commodo.ca,Hunger Guest Speaker,Education,10/22/2017,wednesday,17,19,0,11,Indianapolis,MO,
1329,Nam.ac@seddolorFusce.ca,Women Foundation,Health,12/24/2018,tuesday,14,15,0,11,Shreveport,WA,
1330,Nullam.ut@ornare.org,Environment Guest Speaker,Disaster Relief,7/5/2018,thursday,13,15,0,25,Rutland,ID,
1331,malesuada@faucibus.edu,Women Foundation,Health,4/20/2018,friday,9,12,0,16,Akron,MI,
1332,mus.Donec.dignissim@auctorquistristique.org,Human Rights Charity,Technology,2/22/2017,friday,14,15,0,21,Bozeman,MT,
1333,Vivamus@eratneque.com,Arts and Crafts Guest Speaker,International,2/2/2017,thursday,10,11,0,22,Chesapeake,FL,
1334,viverra@Integer.org,Arts and Crafts Charity Auction,Hunger,2/13/2019,monday,14,15,0,12,Oklahoma City,CO,
1335,eu.arcu@blanditenim.edu,Arts and Crafts Walk,Youth,1/14/2018,friday,16,18,0,25,Gillette,KS,
1336,vel.est@euismodmauriseu.co.uk,Homeless Walk,Animals,5/4/2017,monday,16,17,0,25,Kaneohe,AZ,
1337,ornare.egestas.ligula@a.co.uk,Women Charity Auction,Hunger,7/8/2018,sunday,17,20,0,16,Louisville,DE,
1338,Curae.Phasellus.ornare@Suspendissesed.com,Arts and Crafts Walk,Education,1/31/2017,friday,17,18,0,4,Birmingham,MS,
1339,adipiscing@Proinvelit.org,LGBT Walk,Human Rights,7/29/2018,saturday,8,10,0,4,Racine,GA,
1340,mi.eleifend@cursusNunc.com,Health Charity Auction,Environment,5/18/2017,thursday,7,10,0,4,Southaven,MD,
1341,ipsum.ac.mi@augue.edu,Environment Guest Speaker,Sports,1/2/2017,monday,15,18,0,7,Carson City,FL,
1342,Duis.cursus.diam@rhoncus.org,Arts and Crafts Charity Auction,Animals,3/6/2019,thursday,11,13,0,15,Nashville,IL,
1343,justo@loremsitamet.co.uk,Health Walk,Faith-based,11/5/2017,tuesday,9,12,0,15,Rockville,TX,
1344,Nunc.sed@laoreetlectus.net,Environment Guest Speaker,Arts and Crafts,10/1/2018,thursday,16,19,0,3,Dover,OK,
1345,et.libero.Proin@eu.ca,LGBT Foundation,Hunger,9/17/2018,sunday,9,12,0,8,Henderson,MI,
1346,scelerisque.neque@natoquepenatibuset.org,Environment Foundation,Education,2/22/2017,sunday,15,16,0,4,Baltimore,IN,
1347,aliquet.sem.ut@facilisiSedneque.edu,Education Drive,Youth,4/11/2018,friday,14,17,0,24,Springfield,AL,
1348,erat@ipsum.org,Environment Social Media Fundraising,International,9/12/2017,tuesday,15,17,0,18,Annapolis,AZ,
1349,Phasellus.dolor@diam.edu,Disaster Relief Walk,LGBT,9/29/2017,sunday,7,10,0,8,Austin,OK,
1350,eu.neque.pellentesque@dis.edu,Health Drive,International,8/30/2018,wednesday,11,14,0,21,Great Falls,HI,
1351,aliquam.iaculis@at.com,Technology Foundation,Health,1/14/2018,thursday,7,9,0,10,Owensboro,OR,
1352,dolor.nonummy@aneque.ca,Homeless Foundation,Human Rights,8/10/2017,thursday,9,12,0,20,Chattanooga,UT,
1353,orci.lacus.vestibulum@Phasellus.org,Homeless Guest Speaker,Youth,7/8/2018,thursday,12,13,0,23,Phoenix,WY,
1354,hendrerit.a.arcu@ultriciesornare.co.uk,International Charity Auction,Education,4/4/2019,tuesday,13,16,0,5,Cedar Rapids,CT,
1355,magna.tellus@dolor.edu,Sports Social Media Fundraising,Technology,12/30/2018,monday,17,20,0,8,Erie,AZ,
1356,Sed@lobortisnisinibh.co.uk,Human Rights Charity Auction,Hunger,1/10/2019,wednesday,10,11,0,4,Rochester,MS,
1357,feugiat.Lorem.ipsum@quamquisdiam.net,Seniors Walk,Women,4/1/2018,wednesday,10,12,0,18,Kansas City,KY,
1358,ante.ipsum.primis@magnaPhasellus.edu,Politics Walk,Hunger,1/31/2017,monday,14,16,0,23,Birmingham,MA,
1359,Ut@Cras.org,Disaster Relief Guest Speaker,Hunger,9/13/2017,monday,8,10,0,23,Kansas City,MI,
1360,magnis.dis.parturient@vulputate.ca,Technology Foundation,Health,1/16/2018,saturday,13,14,0,14,Rochester,PA,
1361,arcu.Sed@convallisligulaDonec.co.uk,Human Rights Guest Speaker,Education,9/28/2018,thursday,16,18,0,13,Savannah,AZ,
1362,arcu.eu@laoreetposuereenim.edu,Sports Foundation,Human Rights,11/16/2017,thursday,9,11,0,2,Bellevue,HI,
1363,vehicula.et@ut.edu,Faith-based Drive,Health,10/19/2017,thursday,11,12,0,14,Davenport,WA,
1364,egestas.blandit.Nam@sodalesnisimagna.com,Sports Charity,Politics,11/27/2018,monday,13,16,0,6,Omaha,MD,
1365,lorem.ipsum@ametrisus.org,Education Foundation,LGBT,2/20/2018,monday,14,17,0,15,Baton Rouge,NE,
1366,pharetra.nibh@sitametconsectetuer.ca,International Social Media Fundraising,International,1/14/2017,monday,13,15,0,18,Kailua,ID,
1367,erat.nonummy.ultricies@non.co.uk,Education Foundation,Environment,1/1/2019,friday,15,16,0,16,South Portland,OK,
1368,eget@posuere.co.uk,Youth Charity,Faith-based,11/2/2017,monday,10,12,0,7,Fayetteville,CO,
1369,fringilla.Donec.feugiat@pedeacurna.org,Hunger Drive,Hunger,4/22/2017,saturday,17,18,0,14,Hartford,MT,
1370,luctus.Curabitur@estmauris.co.uk,Hunger Charity Auction,Hunger,5/17/2017,thursday,9,10,0,9,Seattle,GA,
1371,ac.tellus@Sedcongue.net,Faith-based Guest Speaker,Disaster Relief,3/13/2017,tuesday,16,19,0,17,Independence,NV,
1372,a.facilisis@ipsumportaelit.ca,Homeless Social Media Fundraising,Youth,4/25/2018,friday,9,11,0,11,Phoenix,MO,
1373,dapibus@gravidasagittis.ca,Education Charity,Women,1/7/2017,thursday,10,13,0,24,Flint,GA,
1374,Mauris.magna@Maecenasornare.net,Politics Social Media Fundraising,Human Rights,7/4/2018,tuesday,13,15,0,7,West Valley City,IA,
1375,fames.ac.turpis@mauris.ca,Animals Social Media Fundraising,Technology,7/3/2018,tuesday,14,17,0,11,Omaha,DE,
1376,ante.bibendum.ullamcorper@etmagnis.edu,Arts and Crafts Charity,Politics,5/16/2017,thursday,13,14,0,2,Indianapolis,HI,
1377,mollis.nec@dictumplacerat.co.uk,Education Drive,Health,11/2/2018,sunday,17,18,0,9,Fort Worth,AL,
1378,elit.pellentesque.a@temporaugueac.com,Arts and Crafts Charity Auction,Hunger,7/26/2017,friday,7,8,0,17,Fresno,MO,
1379,erat@variusultricesmauris.net,Disaster Relief Charity Auction,LGBT,7/31/2018,sunday,13,16,0,23,Auburn,NE,
1380,odio@pharetraNam.com,Seniors Charity Auction,Homeless,7/2/2017,friday,15,18,0,3,Gary,IL,
1381,Proin.nisl.sem@molestiesodales.co.uk,Sports Walk,Hunger,6/20/2018,friday,7,8,0,6,Virginia Beach,OH,
1382,lacus.Quisque@tristiquesenectuset.edu,Youth Charity Auction,Education,3/13/2018,friday,8,10,0,5,Portland,LA,
1383,eu@habitantmorbi.ca,LGBT Foundation,Animals,9/27/2018,friday,17,18,0,20,Shreveport,OH,
1384,pede.Nunc.sed@Maecenas.edu,LGBT Foundation,LGBT,3/1/2019,tuesday,15,16,0,17,Iowa City,AK,
1385,a@ligulaNullam.edu,Human Rights Charity,Youth,8/30/2017,sunday,16,19,0,3,Shreveport,WA,
1386,cursus.diam.at@Etiam.com,Seniors Foundation,Animals,12/5/2017,thursday,12,13,0,23,West Valley City,CT,
1387,Proin.nisl@necdiam.edu,International Charity,Human Rights,1/21/2019,friday,12,14,0,15,Covington,FL,
1388,et.rutrum.eu@fermentummetus.co.uk,International Walk,Education,6/11/2018,sunday,12,14,0,5,Lewiston,AR,
1389,varius@Crasconvallisconvallis.ca,Human Rights Social Media Fundraising,Homeless,3/15/2018,wednesday,13,16,0,17,Fort Smith,WA,
1390,mauris@adipiscingelitCurabitur.net,Health Drive,Youth,3/7/2017,tuesday,11,13,0,17,Burlington,NV,
1391,eget.venenatis.a@tellus.co.uk,Sports Social Media Fundraising,International,7/6/2017,monday,16,17,0,20,Idaho Falls,AR,
1392,quis.pede.Suspendisse@nonarcuVivamus.com,Politics Social Media Fundraising,Seniors,10/29/2018,tuesday,9,10,0,25,Denver,MN,
1393,interdum.Nunc@nonlaciniaat.co.uk,Human Rights Social Media Fundraising,Politics,12/18/2017,tuesday,14,17,0,6,Lakewood,MO,
1394,vulputate.posuere.vulputate@ante.com,Hunger Charity,Environment,8/10/2017,thursday,14,17,0,8,Sterling Heights,FL,
1395,Sed.dictum.Proin@doloregestas.net,Environment Walk,Youth,4/26/2017,monday,12,15,0,2,Lakewood,AL,
1396,vehicula.Pellentesque.tincidunt@penatibuset.net,Environment Charity,Faith-based,1/3/2017,tuesday,15,18,0,24,Knoxville,WA,
1397,congue.elit.sed@lacinia.co.uk,Women Charity Auction,Human Rights,3/23/2018,wednesday,16,19,0,24,Columbia,TN,
1398,massa@magnaCrasconvallis.co.uk,Politics Walk,LGBT,6/30/2017,saturday,15,18,0,4,Fayetteville,NV,
1399,sed.pede@Phasellus.com,Human Rights Social Media Fundraising,Youth,1/15/2017,friday,14,17,0,11,Wilmington,TN,
1400,Fusce@velnislQuisque.co.uk,LGBT Charity,Faith-based,10/29/2018,friday,17,19,0,9,Wichita,IL,
1401,dictum@purusinmolestie.edu,Technology Charity Auction,Faith-based,1/28/2018,friday,11,14,0,5,Chattanooga,MO,
1402,in@sit.edu,Youth Drive,Health,7/19/2017,monday,9,10,0,13,Reno,CA,
1403,adipiscing@adipiscingelit.edu,Youth Foundation,Hunger,2/25/2018,thursday,15,18,0,7,Racine,GA,
1404,magna.Suspendisse@felisegetvarius.ca,Arts and Crafts Social Media Fundraising,Education,2/25/2018,monday,17,20,0,19,Spokane,AL,
1405,et@purus.com,Animals Social Media Fundraising,Technology,3/13/2017,friday,13,14,0,15,Grand Island,MA,
1406,urna@erosNamconsequat.com,Seniors Walk,Hunger,12/20/2017,friday,10,11,0,16,Carson City,MT,
1407,nec@id.org,Human Rights Foundation,Politics,1/24/2018,friday,16,17,0,3,New Haven,GA,
1408,nibh.vulputate.mauris@tellusAenean.com,Health Charity Auction,Education,9/25/2018,tuesday,11,14,0,20,Tampa,OR,
1409,faucibus@et.ca,Health Guest Speaker,Seniors,5/25/2018,sunday,7,8,0,25,South Bend,IN,
1410,amet.faucibus@nibhDonecest.net,Youth Drive,Animals,8/31/2018,saturday,14,17,0,5,Gary,AK,
1411,lobortis@justofaucibuslectus.org,LGBT Drive,Seniors,5/31/2017,monday,8,11,0,9,Nampa,CO,
1412,felis@justosit.ca,LGBT Drive,Technology,10/13/2018,tuesday,9,11,0,24,Birmingham,MD,
1413,odio@adipiscingelit.org,Faith-based Charity,Education,2/13/2018,thursday,12,14,0,25,Bellevue,DE,
1414,aliquam@loremutaliquam.co.uk,Environment Guest Speaker,LGBT,5/2/2017,sunday,17,19,0,19,Fairbanks,KS,
1415,condimentum@Integer.edu,Faith-based Social Media Fundraising,Youth,3/29/2018,thursday,14,17,0,2,Gaithersburg,KY,
1416,Phasellus.libero@pede.com,Seniors Charity,LGBT,12/9/2018,saturday,12,13,0,3,Wyoming,TN,
1417,massa@elit.net,Disaster Relief Charity,LGBT,8/6/2017,tuesday,16,18,0,6,San Antonio,VA,
1418,dapibus.id.blandit@lacusUt.co.uk,Hunger Charity,LGBT,3/18/2019,wednesday,12,15,0,8,Metairie,DE,
1419,Aenean.gravida@Pellentesquehabitant.net,Hunger Walk,Education,3/28/2017,thursday,17,20,0,11,Rock Springs,MI,
1420,a@diamPellentesque.edu,Seniors Guest Speaker,Youth,10/3/2017,thursday,16,18,0,16,Salem,TN,
1421,Cum.sociis.natoque@risus.ca,Women Drive,Disaster Relief,10/7/2018,sunday,15,17,0,23,Boston,AR,
1422,et.malesuada.fames@lobortisultrices.ca,Technology Charity,Environment,1/27/2018,friday,16,17,0,10,Pike Creek,VA,
1423,Cum.sociis.natoque@habitant.net,LGBT Charity Auction,LGBT,7/4/2017,friday,17,18,0,19,Annapolis,VA,
1424,Suspendisse@Nunccommodoauctor.net,Health Charity Auction,Health,12/17/2017,saturday,11,14,0,8,Columbus,FL,
1425,lorem.semper.auctor@Donecvitaeerat.net,Youth Social Media Fundraising,Education,11/4/2018,thursday,7,9,0,17,Newark,CT,
1426,ut.cursus@urna.net,Politics Charity Auction,Animals,6/5/2018,thursday,7,8,0,9,Springfield,OR,
1427,ante.Maecenas@dictum.com,LGBT Social Media Fundraising,Technology,7/25/2017,thursday,8,11,0,17,Miami,LA,
1428,ac.facilisis.facilisis@magnaPraesent.com,Politics Charity,Arts and Crafts,4/24/2017,sunday,8,9,0,14,Worcester,KS,
1429,vitae.nibh.Donec@scelerisquenequesed.co.uk,Arts and Crafts Walk,Politics,9/1/2017,wednesday,14,15,0,2,Henderson,IA,
1430,odio@malesuadaIntegerid.ca,LGBT Charity Auction,Education,4/27/2018,monday,9,11,0,2,Grand Rapids,MT,
1431,sed.dolor.Fusce@Nunc.net,Seniors Charity Auction,Animals,6/29/2018,saturday,9,11,0,8,Broken Arrow,OH,
1432,massa.Quisque@Donecelementumlorem.net,Homeless Social Media Fundraising,Animals,6/9/2017,friday,12,14,0,23,Columbus,MD,
1433,est@liberolacusvarius.ca,International Walk,International,1/3/2018,saturday,17,20,0,11,Aurora,CO,
1434,sapien.cursus@ipsumleoelementum.co.uk,Technology Drive,Health,4/7/2018,saturday,10,11,0,2,Grand Island,AK,
1435,dictum@purusinmolestie.edu,Health Drive,Sports,12/25/2017,saturday,16,18,0,24,Lawton,IN,
1436,tellus@laciniaat.co.uk,Health Foundation,Human Rights,5/23/2018,sunday,7,9,0,2,Vancouver,AK,
1437,rhoncus@Cras.org,Homeless Walk,Education,3/11/2017,tuesday,13,15,0,4,Indianapolis,UT,
1438,Aliquam.nisl@risusNuncac.edu,Education Foundation,Seniors,12/28/2018,thursday,7,8,0,6,Madison,WI,
1439,Integer.tincidunt@Fuscefermentum.net,Environment Drive,International,6/1/2018,sunday,15,17,0,23,Davenport,ID,
1440,nisi.Aenean.eget@velit.edu,Education Social Media Fundraising,Homeless,6/15/2017,monday,17,20,0,16,Erie,CA,
1441,dapibus.rutrum.justo@dolor.net,Environment Drive,Politics,2/15/2017,friday,9,12,0,22,Cheyenne,HI,
1442,Donec@Quisque.org,Youth Social Media Fundraising,Arts and Crafts,3/13/2017,sunday,13,16,0,14,Pittsburgh,OR,
1443,nisi.sem.semper@temporerat.edu,International Drive,Seniors,3/15/2017,wednesday,12,14,0,20,Reno,OK,
1444,molestie.tortor@Mauris.edu,Youth Charity Auction,Technology,9/7/2018,monday,7,8,0,15,Virginia Beach,OR,
1445,id.risus.quis@arcu.com,Health Social Media Fundraising,Youth,12/7/2017,monday,15,18,0,13,Augusta,MT,
1446,eu@blanditcongueIn.com,Homeless Social Media Fundraising,Youth,7/26/2018,monday,11,14,0,10,Tacoma,NV,
1447,vulputate.eu.odio@luctusfelis.ca,Environment Charity Auction,International,2/4/2018,saturday,12,13,0,25,Provo,WY,
1448,non.luctus.sit@lectusjustoeu.org,Faith-based Charity Auction,Environment,10/17/2018,tuesday,8,9,0,25,Georgia,TN,
1449,tortor.Nunc@sapienAenean.com,Health Charity Auction,Arts and Crafts,11/17/2017,sunday,13,15,0,14,Cheyenne,NV,
1450,metus@dictummagna.net,Sports Charity,Disaster Relief,2/21/2019,tuesday,14,16,0,25,Lawton,VT,
1451,malesuada@montes.co.uk,Hunger Drive,Politics,1/31/2017,sunday,9,10,0,3,Racine,WI,
1452,eu@Nullamfeugiat.org,Human Rights Charity Auction,LGBT,2/27/2018,thursday,9,12,0,16,Memphis,KY,
1453,sem.consequat@interdumenimnon.edu,Environment Foundation,Education,11/16/2018,thursday,17,20,0,20,Joliet,MI,
1454,nisi@odiosemper.net,LGBT Social Media Fundraising,Women,9/26/2017,friday,14,15,0,22,Columbus,CO,
1455,lectus.justo.eu@hendreritDonecporttitor.co.uk,Faith-based Guest Speaker,Seniors,10/11/2018,wednesday,7,8,0,18,St. Petersburg,FL,
1456,quam@Crasdolor.edu,Technology Charity,Youth,4/11/2018,monday,15,16,0,3,Cleveland,CA,
1457,luctus.felis.purus@facilisismagna.org,Hunger Foundation,Disaster Relief,3/12/2017,saturday,12,14,0,15,Houston,OH,
1458,ligula.elit.pretium@sedsemegestas.net,Human Rights Charity,Arts and Crafts,1/12/2018,thursday,8,9,0,24,Allentown,TX,
1459,sociis@imperdiet.org,Faith-based Charity,Disaster Relief,1/29/2017,saturday,12,14,0,14,Flint,AK,
1460,Cum.sociis.natoque@eunullaat.edu,LGBT Charity Auction,Animals,7/5/2017,monday,14,17,0,19,Atlanta,KS,
1461,sed@atvelit.ca,Environment Drive,Human Rights,4/30/2017,thursday,17,20,0,15,Tampa,HI,
1462,pede.blandit.congue@Morbi.ca,Sports Charity,Faith-based,3/11/2017,thursday,10,11,0,8,Carson City,KS,
1463,arcu.eu@Vivamusmolestie.edu,Education Social Media Fundraising,Homeless,2/15/2019,saturday,12,15,0,25,Seattle,MI,
1464,dui@aliquetlobortisnisi.co.uk,Hunger Charity Auction,Faith-based,6/3/2018,saturday,12,13,0,16,Kearney,MI,
1465,erat.in@DuisgravidaPraesent.org,Sports Drive,Politics,7/12/2017,saturday,13,16,0,20,Grand Island,LA,
1466,sem@cursusdiamat.org,Seniors Guest Speaker,Environment,10/26/2017,thursday,15,16,0,14,Chicago,DE,
1467,ullamcorper@dignissim.edu,Human Rights Drive,Health,8/27/2017,saturday,13,14,0,7,Mesa,HI,
1468,in.felis.Nulla@acfacilisis.co.uk,Seniors Guest Speaker,International,8/24/2017,monday,16,18,0,22,New Haven,WA,
1469,mi.lorem@ligulaAenean.org,Health Social Media Fundraising,Homeless,4/8/2018,thursday,8,10,0,2,Columbia,LA,
1470,pede@mollis.org,Disaster Relief Walk,International,9/18/2018,monday,12,15,0,23,Bellevue,TX,
1471,nisi.Mauris.nulla@Utsemper.org,Technology Charity,Technology,4/7/2018,friday,16,18,0,19,Lakewood,TX,
1472,senectus.et@vitaealiquameros.co.uk,Technology Social Media Fundraising,Politics,2/25/2018,wednesday,11,14,0,3,Saint Paul,LA,
1473,Proin.dolor@Aeneaneuismod.net,Arts and Crafts Walk,Human Rights,10/12/2018,sunday,13,14,0,15,Richmond,NE,
1474,amet.nulla@in.org,Seniors Guest Speaker,Technology,5/11/2017,tuesday,17,20,0,13,Baton Rouge,HI,
1475,vestibulum.Mauris@lacus.com,Disaster Relief Foundation,Human Rights,12/29/2018,saturday,10,11,0,18,Broken Arrow,VA,
1476,faucibus@tincidunt.org,Youth Charity Auction,Politics,4/11/2019,thursday,17,19,0,17,Duluth,CA,
1477,id.libero.Donec@dolor.co.uk,Health Drive,LGBT,10/31/2018,friday,7,9,0,4,Auburn,AR,
1478,Vivamus@velturpis.org,Health Drive,Sports,6/27/2017,monday,13,14,0,16,Green Bay,IN,
1479,nisi.nibh@ligula.edu,Animals Charity,Arts and Crafts,2/23/2017,wednesday,15,17,0,2,Frederick,LA,
1480,ultricies@Duisac.co.uk,Women Charity,Health,4/23/2018,thursday,13,15,0,11,Allentown,NE,
1481,tincidunt@vel.org,Hunger Charity,Animals,8/21/2018,wednesday,12,14,0,3,Harrisburg,WI,
1482,vulputate@habitantmorbitristique.edu,Education Drive,Technology,5/13/2018,thursday,7,8,0,20,Springfield,WI,
1483,eleifend.nunc@etmagnis.com,Health Charity,Animals,7/6/2017,friday,17,19,0,20,Phoenix,TX,
1484,Duis@Aliquamrutrumlorem.com,Faith-based Social Media Fundraising,Environment,5/5/2017,monday,9,10,0,6,Newark,IN,
1485,vulputate.posuere.vulputate@ante.com,LGBT Social Media Fundraising,Homeless,8/15/2017,saturday,16,17,0,11,North Las Vegas,TN,
1486,Donec.sollicitudin@laoreetposuere.edu,Seniors Foundation,Human Rights,4/25/2018,friday,11,13,0,3,New Haven,AK,
1487,pellentesque.massa.lobortis@Vestibulum.com,Faith-based Charity,Politics,3/10/2019,monday,16,17,0,18,Bellevue,MA,
1488,in@erosNam.com,Homeless Walk,Faith-based,2/5/2019,saturday,17,19,0,2,Las Vegas,MT,
1489,Donec.elementum@purus.co.uk,International Social Media Fundraising,Politics,10/5/2017,tuesday,9,11,0,23,Erie,LA,
1490,eget.nisi@orci.net,Environment Drive,Disaster Relief,4/22/2017,wednesday,15,16,0,8,College,MN,
1491,orci.luctus.et@posuerecubilia.co.uk,Human Rights Charity,Health,10/3/2017,saturday,12,15,0,11,Wyoming,CT,
